sample,purity_plus,ploidy_plus,cnh_plus
TCGA-DC-6157-01A-11D-1656-01,0.98,5,0.227600311509208
TCGA-AG-3574-01A-01D-0819-01,1,2.07,0.0601676558918004
TCGA-CL-4957-01A-01D-1732-01,0.96,3.79,0.0872510874371684
TCGA-AG-3591-01A-01D-1732-01,1,4.31,0.10791799839909
TCGA-AG-3593-01A-01D-0819-01,0.99,3.5,0.141821852938847
TCGA-DC-4745-01A-01D-1732-01,1,3.23,0.146915003143545
TCGA-F5-6812-01A-11D-1825-01,0.93,3.91,0.124800169515712
TCGA-AG-4005-01A-01D-1428-01,0.99,3.96,0.0817824921279598
TCGA-DC-6158-01A-11D-1656-01,0.93,4.71,0.0931651154447502
TCGA-AG-3732-01A-11D-1656-01,1,2.7,0.0872513176946401
TCGA-AG-3909-01A-01D-1428-01,0.99,4.75,0.153533821011463
TCGA-AH-6544-01A-11D-1825-01,0.87,4.71,0.107408822477473
TCGA-AG-3608-01A-01D-0824-01,0.99,1.99,0.0379256630694799
TCGA-AG-3881-01A-01D-0903-01,1,4.54,0.0872130253581659
TCGA-F5-6863-01A-11D-1923-01,1,3.2,0.116928898519208
TCGA-AG-A025-01A-01D-A008-01,1,2,0.0263146374602746
TCGA-AG-3601-01A-01D-0824-01,1,3.15,0.123690062059262
TCGA-AF-A56L-01A-31D-A38W-01,0.99,4.62,0.172659061698435
TCGA-EI-6883-01A-31D-1923-01,0.97,3.03,0.0809434503779836
TCGA-AF-6672-01A-11D-1825-01,1,3.98,0.094318850553251
TCGA-EI-6885-01A-11D-1923-01,1,2.11,0.177311421758551
TCGA-CI-6623-01B-11D-1825-01,0.8,4.37,0.184160653304471
TCGA-AG-A01L-01A-01D-A003-01,0.96,3.48,0.159405652078076
TCGA-F5-6702-01A-11D-1825-01,1,2,0.200283613634312
TCGA-EF-5831-01A-01D-1656-01,1,4.95,0.10533144228001
TCGA-AG-3902-01A-01D-1428-01,0.83,4.1,0.07077139152088
TCGA-AG-A00C-01A-01D-A003-01,1,1.93,0.0554208546839552
TCGA-DY-A1DE-01A-11D-A151-01,1,3.86,0.14755684358429
TCGA-AG-3890-01A-01D-1428-01,1,1.96,0.169446475700616
TCGA-AH-6547-01A-11D-1825-01,0.97,1.99,0.0396514999317656
TCGA-AG-3742-01A-11D-1656-01,1,2.92,0.0430945013682545
TCGA-AG-A023-01A-01D-A008-01,0.99,3.05,0.0615980594631412
TCGA-AF-A56N-01A-12D-A38W-01,1,4.73,0.0881398786296845
TCGA-AG-A032-01A-01D-A008-01,1,4.34,0.112960975181752
TCGA-AG-A008-01A-01D-A003-01,1,3.45,0.107343938368557
TCGA-EI-6507-01A-11D-1732-01,1,4.02,0.0226882922412224
TCGA-AG-3887-01A-01D-1428-01,1,2.99,0.044136594620746
TCGA-F5-6811-01A-11D-1825-01,1,5,0.158466300895607
TCGA-CI-6620-01A-11D-1825-01,1,3.78,0.0957058486574543
TCGA-G5-6233-01A-11D-1732-01,0.97,3.39,0.175068663239155
TCGA-AG-3582-01A-01D-0819-01,1,3.88,0.104826747250372
TCGA-DC-6681-01A-11D-1825-01,1,2.97,0.0610459371056262
TCGA-DC-6160-01A-11D-1656-01,0.98,2.79,0.086147456794374
TCGA-AH-6903-01A-11D-1923-01,0.94,1.99,0.0257742953181275
TCGA-F5-6465-01A-11D-1732-01,1,4.21,0.0730593166307868
TCGA-AG-A002-01A-01D-A003-01,1,1.99,0.0223558373933292
TCGA-AG-3901-01A-01D-1428-01,1,1.95,0.0695086351485734
TCGA-AG-A01Y-01A-41D-A080-01,1,4.77,0.0881966201760563
TCGA-DC-5869-01A-01D-1656-01,1,3.39,0.18457608935864
TCGA-AG-3609-01A-02D-0824-01,0.99,2.55,0.112049838413081
TCGA-AF-2687-01A-02D-1732-01,1,1.94,0.188093195311062
TCGA-AG-3611-01A-01D-0824-01,0.99,4.06,0.207356847809336
TCGA-DC-6156-01A-11D-1656-01,0.97,2.49,0.227367507742801
TCGA-AG-3584-01A-01D-0819-01,1,2.83,0.0836700874839765
TCGA-AG-3605-01A-01D-0824-01,1,2.02,0.0851228006771041
TCGA-AG-3727-01A-01D-0903-01,1,1.9,0.0745706351255616
TCGA-AG-A02X-01A-01D-A008-01,1,2.55,0.047708588764315
TCGA-EI-6884-01A-11D-1923-01,1,2.03,0.111492210785267
TCGA-AG-3580-01A-01D-0819-01,1,3,0.026071894882828
TCGA-AG-3599-01A-02D-0824-01,1,2,0.0391727620896098
TCGA-EI-6514-01A-11D-1732-01,1,4.35,0.150041226214223
TCGA-EI-6506-01A-11D-1732-01,1,1.98,0.122044126265402
TCGA-DC-6155-01A-11D-1656-01,1,3.63,0.108938096653531
TCGA-AG-A01J-01A-01D-A008-01,1,4.02,0.0489209834484704
TCGA-AF-A56K-01A-32D-A38W-01,0.96,4.22,0.11615132950907
TCGA-AG-3896-01A-01D-1428-01,1,4.37,0.106872722281728
TCGA-AG-4021-01A-01D-1732-01,1,2.71,0.0921671185121428
TCGA-AG-3602-01A-02D-0824-01,1,1.83,0.0748279543303772
TCGA-CL-5918-01A-11D-1656-01,1,3.04,0.0952546193417291
TCGA-AG-3883-01A-02D-0903-01,0.93,4.91,0.101321817473855
TCGA-EI-6512-01A-11D-1732-01,1,4.17,0.0866463386939327
TCGA-EF-5830-01A-01D-1656-01,1,1.98,0.110805754080018
TCGA-AG-3725-01A-11D-1732-01,1,4.08,0.144987147698539
TCGA-AG-A02N-01A-11D-A080-01,1,3.07,0.0364807215158573
TCGA-DY-A1H8-01A-21D-A151-01,1,2.02,0.0743537643402488
TCGA-F5-6864-01A-11D-1923-01,0.9,3.04,0.116694778680059
TCGA-DY-A1DC-01A-31D-A151-01,1,3.08,0.0782972431165019
TCGA-AG-A020-01A-21D-A080-01,1,1.91,0.0819666495531627
